DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4650238;1;5;1;10;1;1;7;2007;10;4;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;19;1285,96743329827
4650239;1;1;1;10;1;2;9;1986;31;1;1;2; ;2; ;2; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1011,38263893559
4650240;1;1;1;10;1;2;11;1942;75;1;2;3; ;3; ;1;2;1; ; ;3; ; ;1;1;2; ;3;2; ; ;2;2;06;19;895,382234967861
4650240;1;2;1;10;2;1;4;1962;56;2;2;3; ;3; ;1;1;1; ; ;1;1;98;2;1;2; ;3;2; ; ;2;2;06;19;895,382234967861
4650241;1;1;1;10;1;2;8;1972;45;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;878,044488651756
4650241;2;1;2;10;1;2;9;1991;26;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;878,044488651756
4650241;2;2;2;10;2;1;4;1971;47;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;878,044488651756
4650241;2;3;2;10;2;1;8;2011;6;3; ;1;2;1;1; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;06;19;878,044488651756
4650241;2;4;2;10;1;1;9;2002;15;5;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;06;19;878,044488651756
4650242;1;1;1;10;1;1;11;1980;37;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1496,87771932242
4650242;1;2;1;10;2;2;7;1982;35;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1496,87771932242
4650242;1;3;1;10;1;1;12;2007;10;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;06;19;1496,87771932242
4650242;1;4;1;10;1;2;3;2013;5;3; ;1;1;1;2; ; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;06;19;1496,87771932242
4650242;1;5;1;10;5;1;6;1961;57;5;6;3; ;3; ; ; ;1; ; ;3; ; ;1;1;2; ;3;3; ; ;2;3;06;19;1496,87771932242
4650244;1;1;1;10;1;1;10;1960;57;1;6;2; ;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;838,061324180897
4650244;1;2;1;10;1;2;10;1939;78;5;5;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;838,061324180897
4650244;1;3;1;10;3;2;10;1952;65;5;5;3; ;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;838,061324180897
4650244;1;4;1;10;4;1;5;1971;47;5;6;3; ;1;2; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;838,061324180897
4650245;1;1;1;10;1;1;4;1956;62;1;3;3; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;760,062168814286
4650245;1;2;1;10;2;2;6;1961;57;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;760,062168814286
4650245;1;3;1;10;3;1;2;2000;18;4;6;2; ;2; ; ; ;2;2; ; ; ; ;2;1;2; ;4;7; ; ;2;7;06;19;760,062168814286
4650245;1;4;1;10;4;1;11;1952;65;5;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;760,062168814286
4650245;1;5;1;10;5;1;8;1965;52;5;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;760,062168814286
4650246;1;1;1;10;2;1;4;1965;53;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1706,84765041637
4650246;1;2;1;10;2;2;11;1968;49;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1706,84765041637
4650246;1;3;1;10;2;1;2;1999;19;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1706,84765041637
4650246;1;4;1;10;2;2;2;2003;15;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;06;19;1706,84765041637
4650247;1;1;1;10;1;1;7;1947;70;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;996,200989014322
4650248;1;1;1;10;1;1;5;1975;43;1;2;2; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;19;1054,88048219509
4650248;1;2;1;10;2;2;5;1971;47;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;1054,88048219509
4650249;1;1;1;10;1;2;5;1958;60;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1462,80342684161
4650249;1;2;1;10;1;1;8;1980;37;3;6;3; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;1462,80342684161
4650252;1;1;1;10;1;1;3;1954;64;1;3;3; ;2; ;2; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;996,200989014322
4650253;1;1;1;10;1;1;8;1962;55;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;996,200989014322
4650254;1;1;1;10;1;1;5;1971;47;1;4;3; ;2; ; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;2207,15982114447
