DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4647296;1;2;1;80; ;2;1;4;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;63;2041,55286044359
4647299;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;63;2349,42044354432
4647300;1;2;1;80; ;2;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;1500000;2;1;06;63;4049,59024227481
4647302;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;63;3591,76302202441
4647304;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;63;2775,94030532173
4647305;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;500000;2;1;06;63;7750,06247621844
4647307;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;63;2377,27830123022
4647307;1;6;1;80; ;2;1;4;8; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;63;2377,27830123022
4647308;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;63;3019,41676867187
4647310;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;63;3348,28655867427
4647313;1;1;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ;2; ;500000;2;1;06;63;5141,13705217602
4647314;1;2;1;80; ;2;1;3;3; ;2; ; ;9; ;1; ;2; ;2; ;800000;2;1;06;63;4683,56204576361
4647314;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;63;4683,56204576361
4650053;1;1;1;80; ;2;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;19;1478,51824365218
4650053;1;2;1;80; ;2;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;06;19;1478,51824365218
4650055;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;19;2286,12568352639
4650056;1;2;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;19;1255,06821446161
4650056;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;19;1255,06821446161
4650057;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;40;782000;2;1;06;19;2286,12568352639
4650057;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;19;2286,12568352639
4650058;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;48;98;2;1;06;19;1337,26856906312
4650059;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;19;1478,51824365218
4650061;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;19;1349,15982553133
4650062;1;5;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;19;2669,10517557264
4650062;1;6;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;19;2669,10517557264
4650062;1;7;1;80; ;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;19;2669,10517557264
4650063;1;2;1;80; ;2;1;1;8; ;2; ; ;1; ;2; ;2; ;1;40;782000;2;1;06;19;2483,64123106325
4650063;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;19;2483,64123106325
4650063;1;5;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;19;2483,64123106325
4650067;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;19;1741,89298925953
4650070;1;1;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;19;1503,58725384775
4650070;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;19;1503,58725384775
4650071;1;2;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;19;2415,48410164724
4650073;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;19;2286,12568352639
4650074;1;2;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;19;1255,06821446161
4650077;1;1;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;2; ;1;40;98;2;1;06;19;1255,06821446161
4650077;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;19;1255,06821446161
4650077;1;4;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;19;1255,06821446161
4650077;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;19;1255,06821446161
4650078;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;19;1575,41395791564
4650078;1;3;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;19;1575,41395791564
4650079;1;2;1;80; ;2;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;19;2010,85968145083
4650088;1;2;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;19;4036,29092797961
