DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011
4650575;1;5;4;2;1;1;2;1;4;1; ; ;98;98; ;2;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;3;5;2; ;1;1;1;2;1;2;2;2;1;8;2; ;01;2;06;05;2041,55286044359
4650576;1;4;2;2;1;1;2;1;4;4; ; ; ;250000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;1;2;4;2; ;1;1;5;2;1;1;2;2;1;8;2; ;01;2;06;05;4568,79079882348
4650577;1;3;2;2;1;1;6;1;4;1; ; ;98;150000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;2;2;2;1;3;3;2; ;1;1;5;2;1;1;2;2;1;8;2; ;01;2;06;05;2775,94030532173
4650578;1;4;3;2;1;1;2;1;4;1; ; ;98;200000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;3;4;2; ;1;1;1;4;1;1;2;2;1;8;2; ;01;2;06;05;2868,62100009299
4650579;1;5;3;2;1;1;2;1;4;1; ; ;55000000;180000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;1;3;5;2; ;1;1;1;2;1;1;2;2;1;8;2; ;01;2;06;05;4661,47149359474
4650580;1;2;2;2;1;1;4;5;5;1; ; ;98;50000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;4;2; ;1;1;5;2;1;1;2;2;1;8;2; ;01;2;06;05;2868,62100009299
4650582;1;4;3;2;1;1;3;1;4;1; ; ;250000000;1000000; ;2;2;2;1;1;1;1;2;1;2;1;2;1;2;2;2;1;2;1;1;2;1;3;4;2; ;1;1;1;4;1;2;2;2;1;2;2; ;01;2;06;50;1449,52724109252
4650583;1;4;2;2;1;1;3;1;4;1; ; ;150000000;550000; ;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;1;2;1;1;2;2; ;1;1;1;4;1;1;2;2;1;3;2; ;01;2;06;50;918,417807321526
4650584;1;4;2;2;1;1;3;1;4;4; ; ; ;800000; ;2;1;2;1;1;1;1;2;2;2;1;2;1;1;2;2;1;2;2;1;2;1;3;3;2; ;1;1;1;4;1;1;2;2;1;3;2; ;01;2;06;50;787,114112132173
4650585;1;4;1;2;1;4;3;1;4;1; ; ;40000000;700000; ;2;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;2;2; ;1;1;1;4;1;1;2;2;2; ;2; ;01;2;06;50;798,494258226653
